Country,Localite,Category,Value,Date
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Cases,86,03/24/14
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Deaths,59,03/24/14
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,03/25/14
Guinea,"( Guekedou, Macenta and Kissidougou",Deaths,60,03/25/14
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,03/26/14
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,62,03/26/14
Guinea,"( Guekedou, Macenta and Kissidougou)",Cases,103,03/27/14
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,66,03/27/14
Guinea,"( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)",Deaths,70,03/28/14
Guinea,Conakry,Suspected cases,5,03/28/14
Guinea,Gueckedou,Suspected cases,69,03/28/14
Guinea,Kankan,Suspected cases,1,03/28/14
Guinea,Kissidougou,Suspected cases,7,03/28/14
Guinea,Lofa County,Suspected cases,8,03/28/14
Guinea,Macenta,Suspected cases,21,03/28/14
Guinea,National,Cases,122,03/31/14
Guinea,National,Confirmed cases,24,03/31/14
Guinea,National,Deaths,80,03/31/14
Guinea,National,Probable cases,78,03/31/14
Guinea,National,Suspected cases,22,03/31/14
Guinea,National,Cases,127,04/01/14
Guinea,National,Confirmed cases,35,04/01/14
Guinea,National,Deaths,83,04/01/14
Guinea,Conakry,Cases,18,04/04/14
Guinea,Conakry,Deaths,5,04/04/14
Guinea,Dabola and Djingaraye,Cases,4,04/04/14
Guinea,Dabola and Djingaraye,Deaths,3,04/04/14
Guinea,Gueckedou,Cases,85,04/04/14
Guinea,Gueckedou,Deaths,59,04/04/14
Guinea,Kissidougou,Cases,9,04/04/14
Guinea,Kissidougou,Deaths,5,04/04/14
Guinea,Macenta,Cases,27,04/04/14
Guinea,Macenta,Deaths,14,04/04/14
Guinea,National,Cases,143,04/04/14
Guinea,National,Confirmed cases,54,04/04/14
Guinea,National,Deaths,86,04/04/14
Guinea,Conakry,Cases,20,04/07/14
Guinea,Conakry,Deaths,6,04/07/14
Guinea,Dabola ,Cases,4,04/07/14
Guinea,Dabola ,Deaths,3,04/07/14
Guinea,Dinguiraye ,Cases,1,04/07/14
Guinea,Dinguiraye ,Deaths,1,04/07/14
Guinea,Gueckedou,Cases,90,04/07/14
Guinea,Gueckedou,Deaths,63,04/07/14
Guinea,Kissidougou,Cases,9,04/07/14
Guinea,Kissidougou,Deaths,6,04/07/14
Guinea,Macenta,Cases,27,04/07/14
Guinea,Macenta,Deaths,16,04/07/14
Guinea,National,Cases,151,04/07/14
Guinea,National,Deaths,95,04/07/14
Liberia,National,Cases,21,04/08/14
Liberia,National,Confirmed cases,5,04/08/14
Liberia,National,Deaths,10,04/08/14
Liberia,National,Cases,22,04/09/14
Liberia,National,Confirmed cases,5,04/09/14
Liberia,National,Deaths,12,04/09/14
Guinea,National,Cases,157,04/10/14
Guinea,National,Deaths,101,04/10/14
Liberia,Bong County,Cases,4,04/10/14
Liberia,Bong County,Deaths,0,04/10/14
Liberia,Grand Cape Mount,Cases,1,04/10/14
Liberia,Grand Cape Mount,Deaths,0,04/10/14
Liberia,Lofa County,Cases,10,04/10/14
Liberia,Lofa County,Deaths,9,04/10/14
Liberia,Margibi County,Cases,6,04/10/14
Liberia,Margibi County,Deaths,1,04/10/14
Liberia,Montserrado County,Cases,1,04/10/14
Liberia,Montserrado County,Deaths,1,04/10/14
Liberia,National,Cases,25,04/10/14
Liberia,National,Confirmed cases,5,04/10/14
Liberia,National,Deaths,12,04/10/14
Liberia,Nimba County,Cases,3,04/10/14
Liberia,Nimba County,Deaths,1,04/10/14
Guinea,Conakry,Cases,31,04/11/14
Guinea,Dabola ,Cases,5,04/11/14
Guinea,Dinguiraye ,Cases,1,04/11/14
Guinea,Gueckedou,Cases,95,04/11/14
Guinea,Kissidougou,Cases,6,04/11/14
Guinea,Macenta,Cases,21,04/11/14
Guinea,National,Cases,159,04/11/14
Guinea,National,Confirmed cases,71,04/11/14
Guinea,National,Deaths,106,04/11/14
Guinea,National,Probable cases,34,04/11/14
Guinea,National,Suspected cases,54,04/11/14
Liberia,Bong County,Cases,5,04/13/14
Liberia,Bong County,Deaths,0,04/13/14
Liberia,Grand Cape Mount,Cases,1,04/13/14
Liberia,Grand Cape Mount,Deaths,0,04/13/14
Liberia,Lofa County,Cases,10,04/13/14
Liberia,Lofa County,Deaths,9,04/13/14
Liberia,Margibi County,Cases,6,04/13/14
Liberia,Margibi County,Deaths,2,04/13/14
Liberia,Montserrado County,Cases,1,04/13/14
Liberia,Montserrado County,Deaths,1,04/13/14
Liberia,National,Cases,26,04/13/14
Liberia,National,Confirmed cases,5,04/13/14
Liberia,National,Deaths,13,04/13/14
Liberia,Nimba County,Cases,3,04/13/14
Liberia,Nimba County,Deaths,1,04/13/14
Guinea,National,Cases,168,04/14/14
Guinea,National,Deaths,108,04/14/14
Guinea,Conakry,Cases,47,04/16/14
Guinea,Conakry,Deaths,16,04/16/14
Guinea,Dabola ,Cases,4,04/16/14
Guinea,Dabola ,Deaths,4,04/16/14
Guinea,Dinguiraye ,Cases,1,04/16/14
Guinea,Dinguiraye ,Deaths,1,04/16/14
Guinea,Gueckedou,Cases,117,04/16/14
Guinea,Gueckedou,Deaths,80,04/16/14
Guinea,Kissidougou,Cases,6,04/16/14
Guinea,Kissidougou,Deaths,5,04/16/14
Guinea,Macenta,Cases,22,04/16/14
Guinea,Macenta,Deaths,16,04/16/14
Guinea,National,Cases,197,04/16/14
Guinea,National,Confirmed cases,101,04/16/14
Guinea,National,Deaths,122,04/16/14
Guinea,National,Probable cases,43,04/16/14
Guinea,National,Suspected cases,53,04/16/14
Liberia,Bong County,Cases,5,04/16/14
Liberia,Bong County,Deaths,0,04/16/14
Liberia,Grand Cape Mount,Cases,1,04/16/14
Liberia,Grand Cape Mount,Deaths,0,04/16/14
Liberia,Lofa County,Cases,10,04/16/14
Liberia,Lofa County,Deaths,9,04/16/14
Liberia,Margibi County,Cases,6,04/16/14
Liberia,Margibi County,Deaths,2,04/16/14
Liberia,Montserrado County,Cases,1,04/16/14
Liberia,Montserrado County,Deaths,1,04/16/14
Liberia,National,Cases,27,04/16/14
Liberia,National,Confirmed cases,6,04/16/14
Liberia,National,Deaths,13,04/16/14
Liberia,Nimba County,Cases,4,04/16/14
Liberia,Nimba County,Deaths,1,04/16/14
Guinea,Conakry,Cases,50,04/17/14
Guinea,Conakry,Deaths,20,04/17/14
Guinea,Dabola ,Cases,4,04/17/14
Guinea,Dabola ,Deaths,4,04/17/14
Guinea,Dinguiraye ,Cases,1,04/17/14
Guinea,Dinguiraye ,Deaths,1,04/17/14
Guinea,Gueckedou,Cases,120,04/17/14
Guinea,Gueckedou,Deaths,83,04/17/14
Guinea,Kissidougou,Cases,6,04/17/14
Guinea,Kissidougou,Deaths,5,04/17/14
Guinea,Macenta,Cases,22,04/17/14
Guinea,Macenta,Deaths,16,04/17/14
Guinea,National,Cases,203,04/17/14
Guinea,National,Confirmed cases,109,04/17/14
Guinea,National,Deaths,129,04/17/14
Liberia,National,Cases,27,04/18/14
Liberia,National,Confirmed cases,6,04/18/14
Liberia,National,Deaths,13,04/18/14
